timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6455446281100076e+18,308.0,6720.0,-4680.0,frame_100.jpeg
1.645545123730559e+18,5684.0,4455.0,-3307.0,frame_10000.jpeg
1.6455451237830234e+18,5611.0,4485.0,-3265.0,frame_10001.jpeg
1.6455451238311864e+18,6023.0,4512.0,-3584.0,frame_10002.jpeg
1.6455451238820088e+18,5468.0,4303.0,-3236.0,frame_10003.jpeg
1.6455451239308093e+18,5834.0,4683.0,-3189.0,frame_10004.jpeg
1.645545123983376e+18,5884.0,4543.0,-3362.0,frame_10005.jpeg
1.6455451240310615e+18,5465.0,4231.0,-3164.0,frame_10006.jpeg
1.645545124083429e+18,5996.0,4355.0,-3497.0,frame_10007.jpeg
1.6455451241310523e+18,6505.0,4043.0,-3318.0,frame_10008.jpeg
1.6455451241836518e+18,5734.0,3773.0,-3934.0,frame_10009.jpeg
1.6455451242308426e+18,6937.0,3603.0,-3486.0,frame_10010.jpeg
1.645545124283229e+18,6385.0,1998.0,-2951.0,frame_10011.jpeg
1.6455451243315666e+18,7617.0,2382.0,-3195.0,frame_10012.jpeg
1.6455451243845327e+18,7725.0,3285.0,-3867.0,frame_10013.jpeg
1.6455451244317635e+18,6724.0,2480.0,-3094.0,frame_10014.jpeg
1.6455451244838472e+18,5424.0,2679.0,-3881.0,frame_10015.jpeg
1.6455451245285737e+18,5273.0,3115.0,-5722.0,frame_10016.jpeg
1.6455451245830702e+18,5655.0,2604.0,-5233.0,frame_10017.jpeg
1.6455451246309967e+18,5697.0,859.0,-6066.0,frame_10018.jpeg
1.645545124683519e+18,5476.0,562.0,-6067.0,frame_10019.jpeg
1.64554512473167e+18,7568.0,835.0,-4696.0,frame_10020.jpeg
1.6455451247785764e+18,3981.0,370.0,-5765.0,frame_10021.jpeg
1.6455451248359703e+18,4621.0,1764.0,-5582.0,frame_10022.jpeg
1.6455451248860431e+18,4596.0,1123.0,-6790.0,frame_10023.jpeg
1.6455451249361341e+18,4662.0,-363.0,-5643.0,frame_10024.jpeg
1.6455451249791854e+18,6444.0,-10.0,-6369.0,frame_10025.jpeg
1.6455451250319183e+18,2879.0,973.0,-6032.0,frame_10026.jpeg
1.6455451250803064e+18,5004.0,1692.0,-6499.0,frame_10027.jpeg
1.64554512513464e+18,4295.0,457.0,-6500.0,frame_10028.jpeg
1.6455451251808522e+18,3354.0,1614.0,-6530.0,frame_10029.jpeg
1.6455451252361283e+18,2308.0,2545.0,-5154.0,frame_10030.jpeg
1.6455451252827973e+18,6327.0,1591.0,-5720.0,frame_10031.jpeg
1.6455451253358636e+18,8505.0,-1548.0,-4998.0,frame_10032.jpeg
1.6455451253883034e+18,6695.0,92.0,-6376.0,frame_10033.jpeg
1.6455451254344284e+18,5639.0,2081.0,-5030.0,frame_10034.jpeg
1.6455451254801795e+18,5370.0,1694.0,-5336.0,frame_10035.jpeg
1.6455451255367178e+18,5749.0,1266.0,-5201.0,frame_10036.jpeg
1.645545125580128e+18,5762.0,1420.0,-5301.0,frame_10037.jpeg
1.645545125634835e+18,6703.0,901.0,-5157.0,frame_10038.jpeg
1.6455451256816863e+18,6803.0,1062.0,-5722.0,frame_10039.jpeg
1.6455451257343652e+18,4302.0,1236.0,-6265.0,frame_10040.jpeg
1.6455451257841997e+18,6697.0,1346.0,-6396.0,frame_10041.jpeg
1.645545125834428e+18,2376.0,1137.0,-5002.0,frame_10042.jpeg
1.6455451258851756e+18,5755.0,581.0,-6260.0,frame_10043.jpeg
1.64554512593449e+18,5468.0,982.0,-5943.0,frame_10044.jpeg
1.6455451259787607e+18,5251.0,789.0,-5764.0,frame_10045.jpeg
1.6455451260344707e+18,4832.0,879.0,-5410.0,frame_10046.jpeg
1.6455451260833713e+18,6445.0,677.0,-5633.0,frame_10047.jpeg
1.6455451261357169e+18,5097.0,998.0,-6231.0,frame_10048.jpeg
1.6455451261839235e+18,5758.0,1256.0,-6156.0,frame_10049.jpeg
1.6455451262357665e+18,4280.0,1055.0,-5800.0,frame_10050.jpeg
1.645545126284186e+18,4993.0,1715.0,-5525.0,frame_10051.jpeg
1.6455451263359675e+18,5528.0,1779.0,-5969.0,frame_10052.jpeg
1.6455451263868805e+18,4932.0,1993.0,-5942.0,frame_10053.jpeg
1.6455451264323402e+18,5181.0,1938.0,-5934.0,frame_10054.jpeg
1.6455451264857748e+18,5160.0,1920.0,-5914.0,frame_10055.jpeg
1.6455451265364442e+18,4584.0,2314.0,-5678.0,frame_10056.jpeg
1.645545126585439e+18,4840.0,2352.0,-6256.0,frame_10057.jpeg
1.6455451266323044e+18,4968.0,2049.0,-6303.0,frame_10058.jpeg
1.645545126684345e+18,5093.0,2036.0,-5759.0,frame_10059.jpeg
1.6455451267546406e+18,5203.0,2094.0,-5821.0,frame_10060.jpeg
1.6455451267546406e+18,5203.0,2094.0,-5821.0,frame_10061.jpeg
1.6455451268296266e+18,5324.0,2110.0,-5853.0,frame_10062.jpeg
1.6455451268954166e+18,5417.0,2133.0,-5888.0,frame_10063.jpeg
1.6455451268954166e+18,5417.0,2133.0,-5888.0,frame_10064.jpeg
1.6455451269819433e+18,5440.0,2157.0,-5917.0,frame_10065.jpeg
1.6455451270360553e+18,5206.0,2215.0,-6015.0,frame_10066.jpeg
1.645545127088123e+18,4802.0,2000.0,-6002.0,frame_10067.jpeg
1.645545127135368e+18,5089.0,2479.0,-5774.0,frame_10068.jpeg
1.6455451271876142e+18,5156.0,1828.0,-5819.0,frame_10069.jpeg
1.64554512724798e+18,5486.0,1600.0,-6114.0,frame_10070.jpeg
1.645545127286974e+18,4607.0,2246.0,-6143.0,frame_10071.jpeg
1.6455451273247252e+18,5117.0,2354.0,-6161.0,frame_10072.jpeg
1.645545127393126e+18,5740.0,1732.0,-6345.0,frame_10073.jpeg
1.6455451274433684e+18,5587.0,1832.0,-6387.0,frame_10074.jpeg
1.6455451274945526e+18,5701.0,1750.0,-6191.0,frame_10075.jpeg
1.6455451275419044e+18,4370.0,2107.0,-5805.0,frame_10076.jpeg
1.6455451275800888e+18,5020.0,1976.0,-5653.0,frame_10077.jpeg
1.6455451276298744e+18,4922.0,2056.0,-5639.0,frame_10078.jpeg
1.645545127684632e+18,5528.0,2199.0,-5654.0,frame_10079.jpeg
1.6455451277335634e+18,4806.0,2291.0,-5858.0,frame_10080.jpeg
1.6455451277880077e+18,4688.0,2073.0,-5521.0,frame_10081.jpeg
1.6455451278315174e+18,5338.0,2466.0,-5956.0,frame_10082.jpeg
1.6455451278880635e+18,5073.0,1976.0,-5708.0,frame_10083.jpeg
1.6455451279329695e+18,4970.0,2302.0,-5494.0,frame_10084.jpeg
1.6455451279881326e+18,5198.0,2323.0,-5928.0,frame_10085.jpeg
1.6455451280371766e+18,4912.0,2117.0,-5480.0,frame_10086.jpeg
1.6455451280841933e+18,5379.0,2184.0,-5701.0,frame_10087.jpeg
1.6455451281374508e+18,4550.0,2041.0,-6459.0,frame_10088.jpeg
1.6455451281880033e+18,5126.0,1813.0,-5922.0,frame_10089.jpeg
1.6455451282316628e+18,4807.0,2209.0,-5737.0,frame_10090.jpeg
1.6455451282846129e+18,4590.0,2586.0,-5677.0,frame_10091.jpeg
1.6455451283369526e+18,4856.0,2117.0,-5652.0,frame_10092.jpeg
1.6455451283834355e+18,5234.0,2277.0,-5747.0,frame_10093.jpeg
1.645545128437333e+18,4966.0,2438.0,-5824.0,frame_10094.jpeg
1.6455451284852058e+18,5052.0,2154.0,-5745.0,frame_10095.jpeg
1.6455451285386186e+18,5116.0,2342.0,-5589.0,frame_10096.jpeg
1.6455451285877443e+18,5164.0,2324.0,-5610.0,frame_10097.jpeg
1.6455451286370732e+18,5220.0,2179.0,-5758.0,frame_10098.jpeg
1.645545128685443e+18,5152.0,2084.0,-5544.0,frame_10099.jpeg
1.6455446281580045e+18,291.0,6632.0,-4574.0,frame_101.jpeg
1.6455451287409096e+18,5300.0,2387.0,-5720.0,frame_10100.jpeg
1.645545128785353e+18,5395.0,2197.0,-5547.0,frame_10101.jpeg
1.6455451288361492e+18,5268.0,2341.0,-5382.0,frame_10102.jpeg
1.6455451288604782e+18,5117.0,2054.0,-5415.0,frame_10103.jpeg
1.6455451289427156e+18,5221.0,1936.0,-5571.0,frame_10104.jpeg
1.645545128993765e+18,5515.0,1958.0,-5681.0,frame_10105.jpeg
1.6455451290295455e+18,6065.0,2273.0,-5681.0,frame_10106.jpeg
1.645545129086971e+18,6129.0,2466.0,-5451.0,frame_10107.jpeg
1.6455451291391754e+18,5461.0,2147.0,-5202.0,frame_10108.jpeg
1.6455451291988603e+18,4694.0,1206.0,-5570.0,frame_10109.jpeg
1.6455451292339474e+18,5129.0,1695.0,-5694.0,frame_10110.jpeg
1.6455451292936392e+18,5208.0,2149.0,-5781.0,frame_10111.jpeg
1.6455451293408957e+18,5386.0,1839.0,-5929.0,frame_10112.jpeg
1.6455451294090593e+18,5550.0,1855.0,-5590.0,frame_10113.jpeg
1.645545129426309e+18,5346.0,1967.0,-5481.0,frame_10114.jpeg
1.645545129426309e+18,5346.0,1967.0,-5481.0,frame_10115.jpeg
1.645545129426309e+18,5346.0,1967.0,-5481.0,frame_10116.jpeg
1.645545129733256e+18,5238.0,2125.0,-5375.0,frame_10117.jpeg
1.645545129733256e+18,5238.0,2125.0,-5375.0,frame_10118.jpeg
1.645545129733256e+18,5238.0,2125.0,-5375.0,frame_10119.jpeg
1.645545129733256e+18,5238.0,2125.0,-5375.0,frame_10120.jpeg
1.645545129733256e+18,5238.0,2125.0,-5375.0,frame_10121.jpeg
1.6455451298777912e+18,5148.0,2175.0,-5326.0,frame_10122.jpeg
1.6455451298777912e+18,5148.0,2175.0,-5326.0,frame_10123.jpeg
1.6455451299402747e+18,5336.0,1940.0,-5509.0,frame_10124.jpeg
1.6455451299871242e+18,5434.0,1851.0,-5632.0,frame_10125.jpeg
1.6455451300408174e+18,5382.0,1925.0,-5497.0,frame_10126.jpeg
1.645545130076335e+18,5339.0,1994.0,-5298.0,frame_10127.jpeg
1.6455451301384614e+18,5479.0,1920.0,-5226.0,frame_10128.jpeg
1.6455451302024407e+18,5730.0,1981.0,-5140.0,frame_10129.jpeg
1.6455451302353756e+18,5839.0,2066.0,-5135.0,frame_10130.jpeg
1.6455451302897828e+18,5916.0,2212.0,-5334.0,frame_10131.jpeg
1.6455451303364344e+18,5491.0,2139.0,-5057.0,frame_10132.jpeg
1.645545130389496e+18,5697.0,2453.0,-5186.0,frame_10133.jpeg
1.6455451304361472e+18,5624.0,2379.0,-5208.0,frame_10134.jpeg
1.6455451304945495e+18,5590.0,2284.0,-5173.0,frame_10135.jpeg
1.6455451305437768e+18,5603.0,2268.0,-5139.0,frame_10136.jpeg
1.6455451305870615e+18,5640.0,2242.0,-5098.0,frame_10137.jpeg
1.645545130680573e+18,5682.0,2232.0,-5050.0,frame_10138.jpeg
1.645545130680573e+18,5682.0,2232.0,-5050.0,frame_10139.jpeg
1.645545130733793e+18,5870.0,2253.0,-4873.0,frame_10140.jpeg
1.645545130787769e+18,6001.0,2266.0,-4891.0,frame_10141.jpeg
1.645545130787769e+18,6001.0,2266.0,-4891.0,frame_10142.jpeg
1.6455451308892214e+18,6051.0,2254.0,-4922.0,frame_10143.jpeg
1.645545130935323e+18,6080.0,2260.0,-4952.0,frame_10144.jpeg
1.6455451309993495e+18,6042.0,2299.0,-5003.0,frame_10145.jpeg
1.645545131068581e+18,5982.0,2314.0,-5027.0,frame_10146.jpeg
1.6455451311002217e+18,5926.0,2311.0,-5031.0,frame_10147.jpeg
1.6455451311525197e+18,5653.0,2202.0,-4941.0,frame_10148.jpeg
1.6455451311889185e+18,5020.0,2209.0,-5481.0,frame_10149.jpeg
1.645545131241269e+18,-369.0,5524.0,-12068.0,frame_10150.jpeg
1.6455451312894195e+18,2361.0,2332.0,-7382.0,frame_10151.jpeg
1.645545131341582e+18,6636.0,1276.0,-2086.0,frame_10152.jpeg
1.6455451313896013e+18,9831.0,413.0,449.0,frame_10153.jpeg
1.6455451314396838e+18,9306.0,2299.0,-1743.0,frame_10154.jpeg
1.6455451314893998e+18,7578.0,2669.0,-4315.0,frame_10155.jpeg
1.6455451315418975e+18,4386.0,2854.0,-6535.0,frame_10156.jpeg
1.6455446282119043e+18,239.0,6592.0,-4680.0,frame_102.jpeg
1.6455446282598444e+18,394.0,6447.0,-4971.0,frame_103.jpeg
1.6455451431544312e+18,4147.0,9581.0,-2565.0,frame_10388.jpeg
1.645545143202254e+18,3399.0,9775.0,-2189.0,frame_10389.jpeg
1.6455451432536381e+18,1678.0,10228.0,-2006.0,frame_10390.jpeg
1.645545143306e+18,1688.0,10619.0,-422.0,frame_10391.jpeg
1.6455451433651105e+18,2472.0,9651.0,-452.0,frame_10392.jpeg
1.645545143409092e+18,1904.0,5202.0,-605.0,frame_10393.jpeg
1.6455451434593444e+18,1193.0,2810.0,-1224.0,frame_10394.jpeg
1.6455451435037292e+18,2572.0,2048.0,-2608.0,frame_10395.jpeg
1.6455451435586102e+18,2890.0,418.0,-3906.0,frame_10396.jpeg
1.6455451436115873e+18,4965.0,1651.0,-9095.0,frame_10397.jpeg
1.6455451436585219e+18,5387.0,1798.0,-9019.0,frame_10398.jpeg
1.6455451437042143e+18,2512.0,529.0,-7234.0,frame_10399.jpeg
1.6455446283101686e+18,170.0,6711.0,-5289.0,frame_104.jpeg
1.645545143757771e+18,2574.0,1635.0,-7164.0,frame_10400.jpeg
1.6455451438021373e+18,3091.0,3008.0,-7697.0,frame_10401.jpeg
1.6455451438588513e+18,2235.0,2448.0,-6806.0,frame_10402.jpeg
1.6455451439071729e+18,3485.0,1107.0,-7486.0,frame_10403.jpeg
1.6455451439577772e+18,2520.0,1624.0,-7238.0,frame_10404.jpeg
1.6455451440086387e+18,2689.0,1859.0,-7452.0,frame_10405.jpeg
1.6455451440553267e+18,2511.0,2074.0,-7327.0,frame_10406.jpeg
1.6455451441027325e+18,3190.0,1808.0,-7125.0,frame_10407.jpeg
1.645545144157485e+18,2823.0,1504.0,-7219.0,frame_10408.jpeg
1.6455451442036495e+18,2708.0,1654.0,-7489.0,frame_10409.jpeg
1.6455451442598328e+18,2824.0,1341.0,-7240.0,frame_10410.jpeg
1.645545144304021e+18,3219.0,850.0,-7336.0,frame_10411.jpeg
1.6455451443605258e+18,2623.0,974.0,-7329.0,frame_10412.jpeg
1.6455451444100065e+18,2811.0,697.0,-7433.0,frame_10413.jpeg
1.6455451444362885e+18,2603.0,867.0,-7576.0,frame_10414.jpeg
1.6455451445262845e+18,2651.0,939.0,-7546.0,frame_10415.jpeg
1.6455451445460308e+18,2640.0,876.0,-7443.0,frame_10416.jpeg
1.645545144599666e+18,2704.0,861.0,-7509.0,frame_10417.jpeg
1.6455451446450442e+18,2800.0,1558.0,-7364.0,frame_10418.jpeg
1.6455451447489815e+18,2834.0,1606.0,-7388.0,frame_10419.jpeg
1.6455451447519726e+18,2780.0,1647.0,-7387.0,frame_10420.jpeg
