timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.645022927719284e+18,-6319.0,-2025.0,5352.0,frame_100.jpeg
1.6450229727645842e+18,-5730.0,-2949.0,5611.0,frame_1000.jpeg
1.645022972806978e+18,-5726.0,-2929.0,5597.0,frame_1001.jpeg
1.6450229728594002e+18,-5719.0,-2919.0,5596.0,frame_1002.jpeg
1.64502297295863e+18,-5687.0,-2906.0,5585.0,frame_1003.jpeg
1.64502297295863e+18,-5687.0,-2906.0,5585.0,frame_1004.jpeg
1.645022973004205e+18,-5681.0,-2902.0,5580.0,frame_1005.jpeg
1.6450229730821893e+18,-5673.0,-2900.0,5570.0,frame_1006.jpeg
1.645022973169295e+18,-5663.0,-2895.0,5571.0,frame_1007.jpeg
1.645022973169295e+18,-5663.0,-2895.0,5571.0,frame_1008.jpeg
1.6450229732412657e+18,-5660.0,-2902.0,5564.0,frame_1009.jpeg
1.6450229277729892e+18,-6326.0,-2013.0,5362.0,frame_101.jpeg
1.6450229732690312e+18,-5659.0,-2903.0,5578.0,frame_1010.jpeg
1.6450229733444032e+18,-5662.0,-2920.0,5585.0,frame_1011.jpeg
1.6450229733593871e+18,-5671.0,-2929.0,5591.0,frame_1012.jpeg
1.6450229734272177e+18,-5703.0,-2970.0,5584.0,frame_1013.jpeg
1.645022973458041e+18,-5595.0,-3306.0,5551.0,frame_1014.jpeg
1.6450229735234117e+18,-5629.0,-3447.0,5400.0,frame_1015.jpeg
1.6450229735751795e+18,-5575.0,-3491.0,5381.0,frame_1016.jpeg
1.645022973629514e+18,-5549.0,-3506.0,5428.0,frame_1017.jpeg
1.6450229736771843e+18,-5550.0,-3515.0,5426.0,frame_1018.jpeg
1.6450229737317548e+18,-5566.0,-3477.0,5434.0,frame_1019.jpeg
1.6450229278198006e+18,-6307.0,-2028.0,5371.0,frame_102.jpeg
1.6450229737755738e+18,-5538.0,-3493.0,5414.0,frame_1020.jpeg
1.6450229738218263e+18,-5551.0,-3514.0,5397.0,frame_1021.jpeg
1.6450229738757235e+18,-5563.0,-3501.0,5408.0,frame_1022.jpeg
1.6450229739290557e+18,-5520.0,-3478.0,5361.0,frame_1023.jpeg
1.6450229739745948e+18,-5457.0,-3517.0,5483.0,frame_1024.jpeg
1.645022974027805e+18,-5594.0,-3514.0,5479.0,frame_1025.jpeg
1.645022974077349e+18,-5563.0,-3503.0,5493.0,frame_1026.jpeg
1.6450229741253097e+18,-5525.0,-3599.0,5417.0,frame_1027.jpeg
1.645022974183067e+18,-5442.0,-3490.0,5378.0,frame_1028.jpeg
1.6450229742287724e+18,-5512.0,-3581.0,5420.0,frame_1029.jpeg
1.6450229278716408e+18,-6307.0,-2034.0,5379.0,frame_103.jpeg
1.6450229742806556e+18,-5481.0,-3528.0,5470.0,frame_1030.jpeg
1.6450229743297894e+18,-5439.0,-3629.0,5347.0,frame_1031.jpeg
1.6450229743779945e+18,-5489.0,-3505.0,5474.0,frame_1032.jpeg
1.6450229744285834e+18,-5477.0,-3573.0,5426.0,frame_1033.jpeg
1.6450229744755576e+18,-5508.0,-3554.0,5439.0,frame_1034.jpeg
1.6450229745324234e+18,-5499.0,-3564.0,5370.0,frame_1035.jpeg
1.6450229745827773e+18,-5506.0,-3531.0,5397.0,frame_1036.jpeg
1.6450229746253604e+18,-5469.0,-3586.0,5436.0,frame_1037.jpeg
1.6450229746799311e+18,-5507.0,-3541.0,5408.0,frame_1038.jpeg
1.645022974727741e+18,-5500.0,-3575.0,5425.0,frame_1039.jpeg
1.645022927920385e+18,-6296.0,-2054.0,5362.0,frame_104.jpeg
1.6450229747802744e+18,-5517.0,-3593.0,5383.0,frame_1040.jpeg
1.6450229748306278e+18,-5489.0,-3584.0,5433.0,frame_1041.jpeg
1.6450229748792932e+18,-5487.0,-3567.0,5430.0,frame_1042.jpeg
1.6450229749307402e+18,-5518.0,-3557.0,5391.0,frame_1043.jpeg
1.6450229749793193e+18,-5484.0,-3585.0,5409.0,frame_1044.jpeg
1.6450229750252314e+18,-5507.0,-3587.0,5413.0,frame_1045.jpeg
1.6450229750790292e+18,-5526.0,-3539.0,5431.0,frame_1046.jpeg
1.6450229751302804e+18,-5514.0,-3525.0,5383.0,frame_1047.jpeg
1.6450229751801874e+18,-5496.0,-3568.0,5343.0,frame_1048.jpeg
1.6450229752275154e+18,-5548.0,-3493.0,5414.0,frame_1049.jpeg
1.6450229279758482e+18,-6271.0,-2059.0,5367.0,frame_105.jpeg
1.6450229752790195e+18,-5498.0,-3548.0,5416.0,frame_1050.jpeg
1.6450229753276582e+18,-5530.0,-3538.0,5427.0,frame_1051.jpeg
1.645022975383697e+18,-5540.0,-3531.0,5405.0,frame_1052.jpeg
1.645022975430007e+18,-5499.0,-3570.0,5374.0,frame_1053.jpeg
1.6450229754816356e+18,-5533.0,-3546.0,5411.0,frame_1054.jpeg
1.6450229755301407e+18,-5509.0,-3502.0,5381.0,frame_1055.jpeg
1.6450229755794225e+18,-5495.0,-3545.0,5383.0,frame_1056.jpeg
1.6450229756275013e+18,-5529.0,-3540.0,5412.0,frame_1057.jpeg
1.6450229756798628e+18,-5440.0,-3561.0,5394.0,frame_1058.jpeg
1.645022975735828e+18,-5502.0,-3609.0,5456.0,frame_1059.jpeg
1.645022928020911e+18,-6267.0,-2054.0,5380.0,frame_106.jpeg
1.6450229757850575e+18,-5476.0,-3632.0,5408.0,frame_1060.jpeg
1.6450229758344026e+18,-5454.0,-3619.0,5421.0,frame_1061.jpeg
1.6450229758818583e+18,-5472.0,-3639.0,5446.0,frame_1062.jpeg
1.6450229759363942e+18,-5480.0,-3629.0,5404.0,frame_1063.jpeg
1.645022975967431e+18,-5467.0,-3640.0,5395.0,frame_1064.jpeg
1.6450229760351037e+18,-5471.0,-3651.0,5395.0,frame_1065.jpeg
1.6450229760815657e+18,-5488.0,-3628.0,5388.0,frame_1066.jpeg
1.645022976136442e+18,-5514.0,-3615.0,5351.0,frame_1067.jpeg
1.6450229761802621e+18,-5557.0,-3574.0,5328.0,frame_1068.jpeg
1.6450229762329231e+18,-5568.0,-3589.0,5328.0,frame_1069.jpeg
1.6450229280716147e+18,-6278.0,-2092.0,5393.0,frame_107.jpeg
1.6450229762797893e+18,-5571.0,-3572.0,5294.0,frame_1070.jpeg
1.6450229763341005e+18,-5558.0,-3561.0,5308.0,frame_1071.jpeg
1.6450229763811325e+18,-5559.0,-3601.0,5340.0,frame_1072.jpeg
1.6450229764379282e+18,-5561.0,-3576.0,5350.0,frame_1073.jpeg
1.6450229764811628e+18,-5549.0,-3568.0,5320.0,frame_1074.jpeg
1.645022976530544e+18,-5540.0,-3601.0,5301.0,frame_1075.jpeg
1.6450229765810053e+18,-5559.0,-3587.0,5314.0,frame_1076.jpeg
1.6450229766338097e+18,-5548.0,-3608.0,5336.0,frame_1077.jpeg
1.6450229766818278e+18,-5528.0,-3619.0,5321.0,frame_1078.jpeg
1.645022976734477e+18,-5529.0,-3615.0,5328.0,frame_1079.jpeg
1.645022928121241e+18,-6278.0,-2103.0,5375.0,frame_108.jpeg
1.6450229767849846e+18,-5524.0,-3645.0,5308.0,frame_1080.jpeg
1.6450229768332193e+18,-5499.0,-3666.0,5350.0,frame_1081.jpeg
1.6450229768840945e+18,-5483.0,-3658.0,5355.0,frame_1082.jpeg
1.6450229769323645e+18,-5494.0,-3675.0,5398.0,frame_1083.jpeg
1.6450229769827249e+18,-5493.0,-3672.0,5367.0,frame_1084.jpeg
1.645022977032083e+18,-5483.0,-3683.0,5335.0,frame_1085.jpeg
1.6450229770779464e+18,-5507.0,-3692.0,5318.0,frame_1086.jpeg
1.6450229771322017e+18,-5465.0,-3687.0,5318.0,frame_1087.jpeg
1.6450229771819676e+18,-5464.0,-3669.0,5363.0,frame_1088.jpeg
1.6450229772336312e+18,-5475.0,-3651.0,5352.0,frame_1089.jpeg
1.6450229281717814e+18,-6262.0,-2113.0,5384.0,frame_109.jpeg
1.6450229772795643e+18,-5488.0,-3686.0,5361.0,frame_1090.jpeg
1.6450229773336916e+18,-5493.0,-3659.0,5343.0,frame_1091.jpeg
1.6450229773866458e+18,-5497.0,-3640.0,5298.0,frame_1092.jpeg
1.645022977433058e+18,-5498.0,-3652.0,5313.0,frame_1093.jpeg
1.645022977488391e+18,-5497.0,-3637.0,5341.0,frame_1094.jpeg
1.645022977537479e+18,-5495.0,-3639.0,5334.0,frame_1095.jpeg
1.645022977587276e+18,-5484.0,-3685.0,5345.0,frame_1096.jpeg
1.6450229776313905e+18,-5483.0,-3671.0,5349.0,frame_1097.jpeg
1.6450229776846574e+18,-5473.0,-3671.0,5348.0,frame_1098.jpeg
1.645022977730631e+18,-5482.0,-3637.0,5363.0,frame_1099.jpeg
1.6450229282209009e+18,-6284.0,-2100.0,5385.0,frame_110.jpeg
1.6450229777861417e+18,-5437.0,-3679.0,5373.0,frame_1100.jpeg
1.6450234734156037e+18,-3835.0,-5236.0,5317.0,frame_11000.jpeg
1.6450234734549568e+18,-3822.0,-4954.0,5628.0,frame_11001.jpeg
1.6450234735038953e+18,-3842.0,-4955.0,5756.0,frame_11002.jpeg
1.6450234735540308e+18,-3847.0,-4929.0,5847.0,frame_11003.jpeg
1.6450234735874813e+18,-3792.0,-4862.0,5776.0,frame_11004.jpeg
1.6450234736540485e+18,-3800.0,-4921.0,5887.0,frame_11005.jpeg
1.6450234737070172e+18,-3870.0,-4959.0,5941.0,frame_11006.jpeg
1.6450234737559762e+18,-3795.0,-5032.0,5548.0,frame_11007.jpeg
1.6450234738081843e+18,-3715.0,-4226.0,5439.0,frame_11008.jpeg
1.6450234738402243e+18,-3751.0,-4647.0,5814.0,frame_11009.jpeg
1.6450229778320381e+18,-5498.0,-3652.0,5453.0,frame_1101.jpeg
1.6450234739141164e+18,-3615.0,-4952.0,5800.0,frame_11010.jpeg
1.6450234739666422e+18,-3618.0,-5013.0,5828.0,frame_11011.jpeg
1.645023474008211e+18,-3584.0,-5259.0,6016.0,frame_11012.jpeg
1.6450234740550467e+18,-3303.0,-6318.0,5074.0,frame_11013.jpeg
1.645023474105243e+18,-3210.0,-6103.0,5134.0,frame_11014.jpeg
1.645023474154649e+18,-3634.0,-5131.0,5197.0,frame_11015.jpeg
1.6450234742075016e+18,-4050.0,-5507.0,5072.0,frame_11016.jpeg
1.6450234742582894e+18,-3689.0,-6255.0,5607.0,frame_11017.jpeg
1.6450234743066941e+18,-3391.0,-5142.0,5574.0,frame_11018.jpeg
1.645023474353761e+18,-2984.0,-5749.0,5133.0,frame_11019.jpeg
1.6450229778846356e+18,-5492.0,-3687.0,5313.0,frame_1102.jpeg
1.6450234744070426e+18,-2896.0,-5939.0,5215.0,frame_11020.jpeg
1.645023474455434e+18,-2803.0,-5873.0,4439.0,frame_11021.jpeg
1.6450234745070725e+18,-2687.0,-6147.0,5192.0,frame_11022.jpeg
1.6450234745533504e+18,-2690.0,-6363.0,5113.0,frame_11023.jpeg
1.6450234746075274e+18,-3115.0,-4938.0,6157.0,frame_11024.jpeg
1.6450234746594266e+18,-3543.0,-5737.0,5675.0,frame_11025.jpeg
1.6450234747068972e+18,-3572.0,-4566.0,6467.0,frame_11026.jpeg
