timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6450229277240113e+18,-2738.0,2939.0,-7203.0,frame_100.jpeg
1.645022972782614e+18,-4120.0,5931.0,-4089.0,frame_1000.jpeg
1.645022972830882e+18,-3981.0,5881.0,-4038.0,frame_1001.jpeg
1.645022972875861e+18,-3998.0,5879.0,-4041.0,frame_1002.jpeg
1.645022972926756e+18,-4050.0,5834.0,-4064.0,frame_1003.jpeg
1.6450229729778683e+18,-4123.0,5856.0,-4053.0,frame_1004.jpeg
1.6450229730280072e+18,-4092.0,5880.0,-3999.0,frame_1005.jpeg
1.6450229730785513e+18,-4095.0,5887.0,-3941.0,frame_1006.jpeg
1.6450229731269486e+18,-4115.0,5943.0,-3954.0,frame_1007.jpeg
1.64502297317569e+18,-4163.0,5983.0,-3921.0,frame_1008.jpeg
1.6450229732310377e+18,-4180.0,6036.0,-3882.0,frame_1009.jpeg
1.6450229277712637e+18,-2782.0,2963.0,-7200.0,frame_101.jpeg
1.6450229732750953e+18,-4153.0,6052.0,-3842.0,frame_1010.jpeg
1.6450229733253048e+18,-4102.0,6007.0,-3813.0,frame_1011.jpeg
1.645022973378e+18,-4127.0,6017.0,-3804.0,frame_1012.jpeg
1.645022973430759e+18,-4136.0,6102.0,-3771.0,frame_1013.jpeg
1.645022973475497e+18,-4096.0,6149.0,-3749.0,frame_1014.jpeg
1.6450229735301783e+18,-4140.0,6157.0,-3739.0,frame_1015.jpeg
1.645022973574775e+18,-4075.0,6126.0,-3707.0,frame_1016.jpeg
1.6450229736287214e+18,-4062.0,6145.0,-3689.0,frame_1017.jpeg
1.6450229736794138e+18,-4093.0,6134.0,-3751.0,frame_1018.jpeg
1.6450229737307715e+18,-4050.0,6118.0,-3753.0,frame_1019.jpeg
1.6450229278237757e+18,-2773.0,2964.0,-7182.0,frame_102.jpeg
1.6450229737751214e+18,-4118.0,6098.0,-3731.0,frame_1020.jpeg
1.6450229738295798e+18,-4054.0,6164.0,-3766.0,frame_1021.jpeg
1.6450229738766454e+18,-4102.0,6177.0,-3734.0,frame_1022.jpeg
1.645022973928157e+18,-4109.0,6107.0,-3714.0,frame_1023.jpeg
1.6450229739771436e+18,-4060.0,6012.0,-3806.0,frame_1024.jpeg
1.6450229740290294e+18,-4041.0,6105.0,-3849.0,frame_1025.jpeg
1.6450229740770324e+18,-4050.0,6000.0,-3943.0,frame_1026.jpeg
1.6450229741308698e+18,-4080.0,6020.0,-3788.0,frame_1027.jpeg
1.6450229741815808e+18,-4006.0,6064.0,-3871.0,frame_1028.jpeg
1.6450229742319944e+18,-4077.0,6001.0,-3866.0,frame_1029.jpeg
1.6450229278714524e+18,-2761.0,2969.0,-7165.0,frame_103.jpeg
1.645022974280357e+18,-4009.0,5982.0,-3917.0,frame_1030.jpeg
1.6450229743309962e+18,-3992.0,5979.0,-3917.0,frame_1031.jpeg
1.64502297438164e+18,-4066.0,5955.0,-3943.0,frame_1032.jpeg
1.6450229744321797e+18,-4021.0,5978.0,-3902.0,frame_1033.jpeg
1.6450229744805798e+18,-4055.0,5980.0,-3970.0,frame_1034.jpeg
1.6450229745314368e+18,-4110.0,5975.0,-3919.0,frame_1035.jpeg
1.6450229745817226e+18,-4091.0,5966.0,-3922.0,frame_1036.jpeg
1.6450229746256663e+18,-4092.0,5999.0,-3944.0,frame_1037.jpeg
1.645022974681903e+18,-4123.0,5985.0,-3948.0,frame_1038.jpeg
1.6450229747272033e+18,-4108.0,6005.0,-3915.0,frame_1039.jpeg
1.6450229279209526e+18,-2758.0,2975.0,-7225.0,frame_104.jpeg
1.6450229747803607e+18,-4145.0,6021.0,-3876.0,frame_1040.jpeg
1.6450229748308529e+18,-4097.0,5980.0,-3873.0,frame_1041.jpeg
1.6450229748859013e+18,-4078.0,5971.0,-3884.0,frame_1042.jpeg
1.6450229749314957e+18,-4135.0,5987.0,-3924.0,frame_1043.jpeg
1.6450229749818924e+18,-4120.0,5975.0,-3923.0,frame_1044.jpeg
1.6450229750256195e+18,-4106.0,5962.0,-3902.0,frame_1045.jpeg
1.6450229750817377e+18,-4173.0,5987.0,-3898.0,frame_1046.jpeg
1.645022975126204e+18,-4147.0,6000.0,-3856.0,frame_1047.jpeg
1.6450229751820296e+18,-4165.0,5965.0,-3894.0,frame_1048.jpeg
1.645022975226755e+18,-4192.0,5942.0,-3935.0,frame_1049.jpeg
1.6450229279756905e+18,-2747.0,2969.0,-7196.0,frame_105.jpeg
1.645022975280997e+18,-4149.0,5903.0,-3935.0,frame_1050.jpeg
1.6450229753289283e+18,-4165.0,5931.0,-3948.0,frame_1051.jpeg
1.6450229753806275e+18,-4176.0,5932.0,-3889.0,frame_1052.jpeg
1.6450229754274458e+18,-4176.0,5921.0,-3876.0,frame_1053.jpeg
1.645022975482361e+18,-4169.0,5946.0,-3929.0,frame_1054.jpeg
1.6450229755258798e+18,-4185.0,5922.0,-3931.0,frame_1055.jpeg
1.6450229755816852e+18,-4187.0,5930.0,-3920.0,frame_1056.jpeg
1.645022975629558e+18,-4198.0,5982.0,-3911.0,frame_1057.jpeg
1.6450229756815237e+18,-4139.0,5930.0,-3931.0,frame_1058.jpeg
1.645022975731859e+18,-4177.0,5953.0,-3914.0,frame_1059.jpeg
1.6450229280227039e+18,-2780.0,2969.0,-7198.0,frame_106.jpeg
1.6450229757840479e+18,-4121.0,5985.0,-3899.0,frame_1060.jpeg
1.6450229758317e+18,-4123.0,5946.0,-3933.0,frame_1061.jpeg
1.645022975879495e+18,-4103.0,5970.0,-3925.0,frame_1062.jpeg
1.6450229759343562e+18,-4095.0,5940.0,-3941.0,frame_1063.jpeg
1.6450229759835523e+18,-4074.0,5939.0,-3948.0,frame_1064.jpeg
1.6450229760309215e+18,-4070.0,5948.0,-3937.0,frame_1065.jpeg
1.6450229760793843e+18,-4107.0,5936.0,-3958.0,frame_1066.jpeg
1.6450229761306442e+18,-4107.0,5923.0,-3978.0,frame_1067.jpeg
1.645022976179721e+18,-4096.0,5933.0,-3998.0,frame_1068.jpeg
1.6450229762319012e+18,-4124.0,5921.0,-3952.0,frame_1069.jpeg
1.6450229280745595e+18,-2726.0,2990.0,-7204.0,frame_107.jpeg
1.6450229762782492e+18,-4137.0,5944.0,-3954.0,frame_1070.jpeg
1.6450229763337428e+18,-4139.0,5938.0,-3982.0,frame_1071.jpeg
1.6450229763831273e+18,-4129.0,5945.0,-3959.0,frame_1072.jpeg
1.645022976431644e+18,-4099.0,5960.0,-3959.0,frame_1073.jpeg
1.6450229764807903e+18,-4125.0,5978.0,-3960.0,frame_1074.jpeg
1.6450229765342118e+18,-4128.0,5966.0,-3954.0,frame_1075.jpeg
1.645022976580575e+18,-4067.0,5975.0,-3959.0,frame_1076.jpeg
1.6450229766339948e+18,-4059.0,5979.0,-3927.0,frame_1077.jpeg
1.6450229766765033e+18,-4063.0,6009.0,-3928.0,frame_1078.jpeg
1.6450229767314322e+18,-4033.0,5989.0,-3940.0,frame_1079.jpeg
1.6450229281216635e+18,-2723.0,2974.0,-7166.0,frame_108.jpeg
1.645022976783829e+18,-4002.0,5997.0,-3932.0,frame_1080.jpeg
1.645022976833297e+18,-4013.0,6008.0,-3925.0,frame_1081.jpeg
1.6450229768814533e+18,-4030.0,5994.0,-3955.0,frame_1082.jpeg
1.645022976931528e+18,-3978.0,6018.0,-3969.0,frame_1083.jpeg
1.6450229769791913e+18,-4020.0,6017.0,-3989.0,frame_1084.jpeg
1.6450229770336468e+18,-4008.0,5990.0,-3952.0,frame_1085.jpeg
1.645022977079754e+18,-3975.0,6000.0,-3912.0,frame_1086.jpeg
1.645022977133923e+18,-4040.0,5980.0,-3963.0,frame_1087.jpeg
1.6450229771845806e+18,-4043.0,5963.0,-4010.0,frame_1088.jpeg
1.6450229772316618e+18,-4021.0,5965.0,-4013.0,frame_1089.jpeg
1.6450229281716623e+18,-2755.0,2977.0,-7184.0,frame_109.jpeg
1.6450229772792579e+18,-4027.0,5940.0,-3986.0,frame_1090.jpeg
1.645022977333956e+18,-4064.0,5956.0,-3996.0,frame_1091.jpeg
1.6450229773846077e+18,-4071.0,5963.0,-3976.0,frame_1092.jpeg
1.6450229774318141e+18,-4112.0,5948.0,-3983.0,frame_1093.jpeg
1.6450229774849894e+18,-4114.0,5936.0,-3979.0,frame_1094.jpeg
1.645022977534207e+18,-4115.0,5943.0,-3949.0,frame_1095.jpeg
1.6450229775846374e+18,-4104.0,5950.0,-3942.0,frame_1096.jpeg
1.6450229776334792e+18,-4101.0,5962.0,-3945.0,frame_1097.jpeg
1.6450229776836854e+18,-4111.0,5976.0,-3929.0,frame_1098.jpeg
1.645022977732434e+18,-4132.0,5971.0,-3958.0,frame_1099.jpeg
1.645022928221898e+18,-2708.0,2991.0,-7178.0,frame_110.jpeg
1.6450229777836316e+18,-4112.0,5945.0,-3928.0,frame_1100.jpeg
1.6450234734024576e+18,-4435.0,4024.0,-5707.0,frame_11000.jpeg
1.6450234734268877e+18,-4469.0,3980.0,-5737.0,frame_11001.jpeg
1.6450234735792563e+18,-4477.0,3980.0,-5727.0,frame_11002.jpeg
1.6450234735792563e+18,-4477.0,3980.0,-5727.0,frame_11003.jpeg
1.645023473602329e+18,-4517.0,4044.0,-5635.0,frame_11004.jpeg
1.6450234736561915e+18,-4216.0,4385.0,-6096.0,frame_11005.jpeg
