timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6455446281099674e+18,-1039.0,6392.0,-5127.0,frame_100.jpeg
1.645545123728564e+18,6344.0,2444.0,-4976.0,frame_10000.jpeg
1.645545123781658e+18,1369.0,8191.0,-1715.0,frame_10001.jpeg
1.6455451238308692e+18,-3298.0,12159.0,-87.0,frame_10002.jpeg
1.6455451238813852e+18,-3508.0,9776.0,-1483.0,frame_10003.jpeg
1.6455451239289316e+18,631.0,7641.0,-4239.0,frame_10004.jpeg
1.6455451239822057e+18,968.0,6987.0,-4532.0,frame_10005.jpeg
1.6455451240313377e+18,1558.0,6530.0,-3752.0,frame_10006.jpeg
1.6455451240824143e+18,4398.0,3111.0,-4912.0,frame_10007.jpeg
1.6455451241312522e+18,3228.0,-206.0,-6099.0,frame_10008.jpeg
1.645545124182985e+18,1287.0,5820.0,-6280.0,frame_10009.jpeg
1.6455451242251725e+18,-2462.0,9180.0,-6105.0,frame_10010.jpeg
1.6455451242824256e+18,-1170.0,7097.0,-3156.0,frame_10011.jpeg
1.645545124327096e+18,-1506.0,5995.0,-6676.0,frame_10012.jpeg
1.645545124382568e+18,-869.0,5576.0,-6092.0,frame_10013.jpeg
1.645545124431531e+18,-741.0,5048.0,-5780.0,frame_10014.jpeg
1.6455451244828357e+18,-2959.0,6364.0,-5089.0,frame_10015.jpeg
1.6455451245315113e+18,-1461.0,6607.0,-5120.0,frame_10016.jpeg
1.6455451245827123e+18,-1550.0,7375.0,-6944.0,frame_10017.jpeg
1.6455451246314708e+18,-1759.0,7652.0,-5456.0,frame_10018.jpeg
1.6455451246798152e+18,-2175.0,6698.0,-4480.0,frame_10019.jpeg
1.645545124728796e+18,2528.0,1898.0,-3660.0,frame_10020.jpeg
1.6455451247839606e+18,3148.0,4144.0,-7242.0,frame_10021.jpeg
1.645545124835496e+18,5247.0,2999.0,-5668.0,frame_10022.jpeg
1.6455451248775826e+18,4225.0,4344.0,-4895.0,frame_10023.jpeg
1.6455451249354355e+18,-285.0,6299.0,-3744.0,frame_10024.jpeg
1.645545124981376e+18,-10003.0,12395.0,-2007.0,frame_10025.jpeg
1.645545125035866e+18,-5120.0,7758.0,-3087.0,frame_10026.jpeg
1.6455451250843732e+18,-1756.0,6497.0,-4671.0,frame_10027.jpeg
1.6455451251350438e+18,1847.0,6159.0,-4448.0,frame_10028.jpeg
1.6455451251825907e+18,5388.0,2005.0,-4179.0,frame_10029.jpeg
1.6455451252373245e+18,4529.0,1234.0,-6970.0,frame_10030.jpeg
1.6455451252795996e+18,4972.0,2257.0,-5409.0,frame_10031.jpeg
1.645545125335694e+18,-1385.0,10062.0,-1540.0,frame_10032.jpeg
1.6455451253873987e+18,-3143.0,8977.0,-4332.0,frame_10033.jpeg
1.6455451254361981e+18,-2050.0,7199.0,-4475.0,frame_10034.jpeg
1.64554512548063e+18,-1206.0,6727.0,-4965.0,frame_10035.jpeg
1.6455451255355471e+18,2563.0,6382.0,-4365.0,frame_10036.jpeg
1.64554512558011e+18,5075.0,3802.0,-5992.0,frame_10037.jpeg
1.64554512563652e+18,1944.0,-31.0,-6939.0,frame_10038.jpeg
1.6455451256809746e+18,4554.0,421.0,-6882.0,frame_10039.jpeg
1.645545125732575e+18,6551.0,3228.0,-6476.0,frame_10040.jpeg
1.6455451257812436e+18,-3967.0,8949.0,-3457.0,frame_10041.jpeg
1.645545125832872e+18,-2282.0,7573.0,-5565.0,frame_10042.jpeg
1.6455451258821332e+18,-491.0,6349.0,-4786.0,frame_10043.jpeg
1.6455451259320637e+18,-2613.0,6302.0,-4867.0,frame_10044.jpeg
1.645545125980915e+18,2671.0,3978.0,-7433.0,frame_10045.jpeg
1.6455451260323922e+18,3011.0,870.0,-7093.0,frame_10046.jpeg
1.6455451260821317e+18,6085.0,899.0,-5691.0,frame_10047.jpeg
