timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.644931923707892e+18,2208.0,4841.0,7232.0,frame_1000.jpeg
1.6449319237572442e+18,2293.0,4659.0,6766.0,frame_1001.jpeg
1.644931923800418e+18,2015.0,3922.0,6289.0,frame_1002.jpeg
1.6449319238587492e+18,2138.0,4607.0,6953.0,frame_1003.jpeg
1.6449319239067889e+18,2546.0,4513.0,6778.0,frame_1004.jpeg
1.644931923956083e+18,1899.0,5403.0,7168.0,frame_1005.jpeg
1.644931924006295e+18,1748.0,5376.0,6461.0,frame_1006.jpeg
1.6449319240584737e+18,1047.0,5271.0,5540.0,frame_1007.jpeg
1.6449319241104724e+18,821.0,4918.0,5148.0,frame_1008.jpeg
1.6449319241598328e+18,1226.0,5106.0,4650.0,frame_1009.jpeg
1.6449319242125082e+18,1582.0,5160.0,4782.0,frame_1010.jpeg
1.6449319242619213e+18,1436.0,5845.0,4338.0,frame_1011.jpeg
1.6449319243118185e+18,935.0,7009.0,4433.0,frame_1012.jpeg
1.6449319243623992e+18,448.0,7693.0,3756.0,frame_1013.jpeg
1.644931924410749e+18,-116.0,7932.0,4245.0,frame_1014.jpeg
1.6449319244576028e+18,-715.0,7967.0,4086.0,frame_1015.jpeg
1.6449319245118287e+18,-1458.0,8282.0,3642.0,frame_1016.jpeg
1.6449319245606024e+18,-1635.0,8248.0,3730.0,frame_1017.jpeg
1.644931924608659e+18,-1393.0,6968.0,3291.0,frame_1018.jpeg
1.6449319246627622e+18,-2379.0,6982.0,3484.0,frame_1019.jpeg
1.6449319247105024e+18,-3488.0,5767.0,4272.0,frame_1020.jpeg
1.6449319247622564e+18,-4656.0,5308.0,4431.0,frame_1021.jpeg
1.6449319248117066e+18,-5693.0,6010.0,5975.0,frame_1022.jpeg
1.6449319248625981e+18,-4953.0,5505.0,5393.0,frame_1023.jpeg
1.6449319249100308e+18,-4586.0,4389.0,5545.0,frame_1024.jpeg
1.644931924961407e+18,-4345.0,4795.0,5345.0,frame_1025.jpeg
1.644931925007306e+18,-4220.0,4795.0,5001.0,frame_1026.jpeg
1.6449319250643615e+18,-4399.0,4590.0,5363.0,frame_1027.jpeg
1.6449319251096556e+18,-4502.0,4852.0,5245.0,frame_1028.jpeg
1.6449319251608049e+18,-4353.0,4507.0,4951.0,frame_1029.jpeg
1.6449319252089313e+18,-4386.0,4590.0,4982.0,frame_1030.jpeg
1.6449319252626255e+18,-4473.0,5107.0,4935.0,frame_1031.jpeg
1.64493192531136e+18,-4426.0,5034.0,4958.0,frame_1032.jpeg
1.6449319253595172e+18,-4239.0,5346.0,4721.0,frame_1033.jpeg
1.6449319254064579e+18,-4018.0,5564.0,4175.0,frame_1034.jpeg
1.6449319254614776e+18,-3799.0,6161.0,3665.0,frame_1035.jpeg
